"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"61","FIC1COF2_Kita","No_CRBD_berries_lower_portion_1st_branch",2,"CRBD","berries","lower","1st",36,0.0555555555555556,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.58351893845611
"62","FIC1COF2_Kita","No_CRBD_berries_lower_portion_2nd_branch",3,"CRBD","berries","lower","2nd",67,0.0447761194029851,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",4.20469261939097
"63","FIC1COF2_Kita","No_CRBD_berries_lower_portion_3rd_branch",9,"CRBD","berries","lower","3rd",24,0.375,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.17805383034795
"64","FIC1COF2_Kita","No_CRBD_berries_lower_portion_4th_branch",0,"CRBD","berries","lower","4th",7,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",1.94591014905531
"65","FIC1COF2_Kita","No_CWD_leaves_middle_portion_1st_branch",0,"CWD","leaves","middle","1st",32,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.46573590279973
"66","FIC1COF2_Kita","No_CWD_leaves_middle_portion_2nd_branch",6,"CWD","leaves","middle","2nd",74,0.0810810810810811,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",4.30406509320417
"67","FIC1COF2_Kita","No_CWD_leaves_middle_portion_3rd_branch",0,"CWD","leaves","middle","3rd",10,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.30258509299405
"68","FIC1COF2_Kita","No_CWD_leaves_middle_portion_4th_branch",0,"CWD","leaves","middle","4th",11,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.39789527279837
"69","FIC1COF2_Kita","No_CLR_leaves_middle_portion_1st_branch",0,"CLR","leaves","middle","1st",32,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.46573590279973
"70","FIC1COF2_Kita","No_CLR_leaves_middle_portion_2nd_branch",0,"CLR","leaves","middle","2nd",74,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",4.30406509320417
