"","Shade_tree_species","Section_of_Kaweri","sample_code","Coffee_Variety","Actual_distance_from_shade_tree_m","Shade_tree_Canopy_Cover","Shade_tree_soil_sample_CODE","Longitude","Latitude","Longitude_dd","Latitude_dd","distance_class"
"237","Ah","Nonve","JAC11COF3_Nonv","Clone B",20,59.81,"JAC11_Nonv","31° 27′ 44.5″ E","0° 38′ 44.4″ N",31.4623611111111,0.645666666666667,"(16-22]"
"238","Ah","Nonve","JAC12COF1_Nonv","Clone F",5,33.05,"JAC12_Nonv","31° 27′ 44.4″ E","0° 38′ 43.9″ N",31.4623333333333,0.645527777777778,"[0-8]"
"239","Ah","Nonve","JAC12COF2_Nonv","Clone A",11,33.05,"JAC12_Nonv","31° 27′ 44.4″ E","0° 38′ 43.9″ N",31.4623333333333,0.645527777777778,"(8-16]"
"240","Ah","Nonve","JAC12COF3_Nonv","Clone C",20,33.05,"JAC12_Nonv","31° 27′ 44.4″ E","0° 38′ 43.9″ N",31.4623333333333,0.645527777777778,"(16-22]"
"241","Ah","Nonve","JAC13COF1_Nonv","Clone C",3,15.29,"JAC13_Nonv","31° 27′ 31″ E","0° 38′ 56″ N",31.4586111111111,0.648888888888889,"[0-8]"
"242","Ah","Nonve","JAC13COF2_Nonv","Clone F",10,15.29,"JAC13_Nonv","31° 27′ 31″ E","0° 38′ 56″ N",31.4586111111111,0.648888888888889,"(8-16]"
"243","Ah","Nonve","JAC13COF3_Nonv","Clone C",20,15.29,"JAC13_Nonv","31° 27′ 31″ E","0° 38′ 56″ N",31.4586111111111,0.648888888888889,"(16-22]"
"244","Pa","Nonve","AVO8COF1_Nonv","Clone B",3,17.05,"AVO8_Nonv","31° 27′ 41.6″ E","0° 38′ 43.7″ N",31.4615555555556,0.645472222222222,"[0-8]"
"245","Pa","Nonve","AVO8COF2_Nonv","Clone F",12,17.05,"AVO8_Nonv","31° 27′ 41.6″ E","0° 38′ 43.7″ N",31.4615555555556,0.645472222222222,"(8-16]"
"246","Pa","Nonve","AVO8COF3_Nonv","Clone F",20,17.05,"AVO8_Nonv","31° 27′ 41.6″ E","0° 38′ 43.7″ N",31.4615555555556,0.645472222222222,"(16-22]"
"247","Pa","Nonve","AVO9COF1_Nonv","Op2",5,17.9,"AVO9_Nonv","31° 27′ 41″ E","0° 38′ 42.3″ N",31.4613888888889,0.645083333333333,"[0-8]"
"248","Pa","Nonve","AVO9COF2_Nonv","Op2",10,17.9,"AVO9_Nonv","31° 27′ 41″ E","0° 38′ 42.3″ N",31.4613888888889,0.645083333333333,"(8-16]"
"249","Pa","Nonve","AVO9COF3_Nonv","Op2",20,17.9,"AVO9_Nonv","31° 27′ 41″ E","0° 38′ 42.3″ N",31.4613888888889,0.645083333333333,"(16-22]"
"250","Pa","Nonve","AVO14COF1_Nonv","Clone F",4,21.35,"AVO14_Nonv","31° 27′ 30.6″ E","0° 38′ 56.8″ N",31.4585,0.649111111111111,"[0-8]"
"251","Pa","Nonve","AVO14COF2_Nonv","Clone A",10,21.35,"AVO14_Nonv","31° 27′ 30.6″ E","0° 38′ 56.8″ N",31.4585,0.649111111111111,"(8-16]"
"252","Pa","Nonve","AVO14COF3_Nonv","Clone C",20,21.35,"AVO14_Nonv","31° 27′ 30.6″ E","0° 38′ 56.8″ N",31.4585,0.649111111111111,"(16-22]"
"253","Pa","Nonve","AVO15COF1_Nonv","Clone B",5,17.37,"AVO15_Nonv","31° 27′ 32.3″ E","0° 38′ 56.9″ N",31.4589722222222,0.649138888888889,"[0-8]"
